ID,Name,Age,Gender,Country,Date of Joining,Salary,Department,Performance Score,Active
55,Jacqueline Hall,45,M,Philippines,2015-08-27,80295.66,Sales,4,True
56,Lisa Thompson,24,M,Tajikistan,2015-06-23,69510.05,Marketing,2,False
57,Mary Weiss,18,M,Netherlands Antilles,2021-04-14,93889.58,Sales,2,True
58,Maria Waller,19,M,Ireland,2019-01-05,33655.51,HR,4,False
59,Sylvia Molina,19,F,Iceland,2024-02-21,83818.92,Finance,3,False
60,Misty Garcia,34,M,Jamaica,2015-03-03,51571.57,Engineering,8,True
61,Shelley Lee,48,F,Cyprus,2015-01-20,37870.09,Marketing,7,True
62,Jimmy Rollins,28,M,Papua New Guinea,2016-01-07,42045.27,HR,5,True
63,Mr. Michael Alexander,51,F,Luxembourg,2018-03-25,106001.22,Marketing,5,True
64,Christopher Ward,61,M,Tajikistan,2024-04-10,95309.97,Engineering,2,False
65,Christopher Crane,28,F,Antigua and Barbuda,2016-06-11,119523.03,HR,9,True
66,Thomas Ward,41,M,Kuwait,2021-03-27,115520.59,Engineering,3,True
67,Sarah Williams,39,F,Portugal,2018-05-16,104921.98,Sales,8,False
68,Terry King,33,M,Bangladesh,2016-10-22,82071.14,Engineering,9,True
69,Derek Davis,43,F,Honduras,2022-04-08,96350.95,HR,4,True
70,Sabrina Collins,35,F,Ecuador,2017-01-13,118329.96,HR,3,False
71,Ian Carter,25,F,Jersey,2016-10-27,115126.49,Finance,3,False
72,Stephanie Zimmerman,47,F,Mongolia,2017-04-03,38273.57,Sales,9,False
73,Adrian Serrano,49,F,Turkey,2024-01-26,60784.98,HR,1,True
74,Joshua Martinez,50,F,Faroe Islands,2023-07-05,103755.85,Finance,4,True
75,Brenda Chase DDS,25,F,Lebanon,2023-10-28,58117.81,Engineering,9,True
76,Linda Mullen,32,F,Svalbard & Jan Mayen Islands,2018-12-29,55337.45,Marketing,4,True
77,Shelley Murray,62,F,Cocos (Keeling) Islands,2023-04-15,45544.99,Engineering,9,False
78,Julie Ewing,58,M,Sweden,2022-04-07,108523.84,Marketing,9,True
79,Rebecca Walker,40,F,Panama,2018-10-08,94367.6,Sales,4,True
80,Sarah Simon,29,M,Belarus,2018-07-20,45811.28,Sales,4,True
81,Wendy Martin,30,M,New Zealand,2019-03-21,100939.57,HR,4,False
82,Cody Hendrix,53,F,Saudi Arabia,2017-04-25,39526.22,Engineering,1,True
83,Stephen Morgan,32,M,Somalia,2018-04-11,86010.5,Marketing,9,True
84,Justin Adams,34,M,Svalbard & Jan Mayen Islands,2024-02-22,68334.76,HR,3,False
85,Jacqueline Reid,40,F,Guam,2023-08-26,73726.74,HR,7,True
86,Michael Hoffman,45,F,Antigua and Barbuda,2015-06-22,109041.43,Finance,5,True
87,Michele Torres,46,M,Ecuador,2015-05-16,49993.31,Finance,6,True
88,Kim Ramirez,46,F,Rwanda,2022-08-27,82722.45,Engineering,6,True
89,Kelly Miller,28,M,Holy See (Vatican City State),2020-06-04,70601.72,Marketing,1,True
90,Corey Hatfield,46,M,Finland,2020-11-23,91696.77,Engineering,2,False
91,John Lopez,56,F,Myanmar,2017-12-15,64074.58,Finance,3,False
92,Mark Galvan,34,M,India,2024-08-02,87412.62,Engineering,4,True
93,Anthony Riggs,43,M,Reunion,2016-05-10,114501.46,Sales,9,True
94,Courtney Williams,52,F,Austria,2020-04-17,91362.0,HR,4,False
95,Alexander Sutton,46,M,Slovenia,2015-02-23,69555.86,HR,1,False
96,Anthony Parker,21,M,Sao Tome and Principe,2023-06-13,100175.48,Finance,2,True
97,Alexander Sanchez,19,M,Afghanistan,2019-07-03,48974.25,Finance,8,False
98,Tonya Miller,64,M,Saint Martin,2016-09-30,63171.66,Finance,1,True
99,Ryan Mcguire,28,F,Romania,2021-11-06,62817.07,HR,5,False
100,Michelle Taylor,29,F,Gabon,2017-03-02,41942.53,Marketing,1,True
101,Mr. Steven Rosales Jr.,18,M,Jamaica,2020-12-25,50976.6,Engineering,4,True
102,Brandy Waters,59,M,Estonia,2024-06-03,62362.94,Engineering,5,False
103,Marissa Gonzalez,26,F,Indonesia,2022-07-05,32437.14,Sales,6,True
104,Michael Burton,26,F,Bolivia,2021-09-12,85511.67,Engineering,6,True
105,Tammy Williams,48,M,French Polynesia,2015-11-02,83314.33,HR,7,False
106,Jose West,60,M,Portugal,2022-05-10,86180.68,HR,2,True
107,Susan Ingram,44,F,Cook Islands,2023-03-21,118986.74,Marketing,2,True
108,Brittany Mcdonald,41,M,Jordan,2015-06-12,95934.58,Engineering,5,False
109,Anthony Gomez,22,M,Mauritania,2015-02-02,59155.22,Engineering,3,True
110,Bryan Hernandez,21,M,Armenia,2020-07-19,92423.15,Engineering,7,True
111,Erin Mckay,60,F,Antigua and Barbuda,2019-04-14,77886.51,Marketing,9,False
112,Rachel Becker,62,F,Grenada,2023-12-23,46264.71,HR,4,False
113,Jeremy Fox,43,M,Suriname,2023-04-21,41265.74,HR,8,True
114,Joshua Bailey,27,M,El Salvador,2023-11-21,64555.76,HR,6,False
115,Heather Trevino,50,F,Central African Republic,2024-05-12,34032.43,Engineering,7,True
116,Linda Deleon,64,M,Kuwait,2020-10-15,117923.64,Sales,2,False
117,Erin Webb,29,M,Lao People's Democratic Republic,2024-08-26,74678.01,Finance,6,False
118,Christopher Howell,59,F,Sri Lanka,2020-05-15,46474.62,Sales,1,False
119,Monique Moran,50,M,Aruba,2015-10-30,63467.02,Marketing,9,True
120,Robert Carroll,30,F,Australia,2020-11-08,53661.45,Finance,3,False
121,Kyle Robinson,52,M,Suriname,2021-12-14,59350.63,Engineering,3,False
122,Ashley Pugh,41,F,Samoa,2015-05-08,74445.97,HR,5,True
123,Lucas Hughes,39,M,Slovenia,2017-10-14,106799.79,Marketing,5,False
124,Albert Brock,58,F,Haiti,2017-01-01,74027.72,Engineering,6,False
125,Rebecca Porter,54,F,Lebanon,2019-09-27,39342.77,Marketing,1,False
126,Paula Rodriguez,56,F,Bangladesh,2022-11-09,64308.29,HR,8,False
127,Elizabeth Robles,20,F,United States Virgin Islands,2023-04-09,84024.1,HR,6,True
128,Rebecca Copeland,62,M,Zambia,2020-12-29,81622.03,Marketing,5,True
129,Robert Parker,19,M,Trinidad and Tobago,2021-12-10,100959.58,HR,7,False
130,Lisa Jones,20,M,Norway,2024-09-09,100669.17,Engineering,6,False
131,Jacob Liu,32,M,Slovakia (Slovak Republic),2024-02-12,70981.47,Engineering,8,False
132,William Colon,63,M,Croatia,2019-04-22,108243.5,Sales,4,True
133,Brenda Flores,34,M,Saudi Arabia,2020-02-29,42470.73,Marketing,2,False
134,Mitchell Dyer,43,F,Costa Rica,2016-11-21,106400.83,Engineering,3,False
135,Jimmy Hayes,27,F,San Marino,2020-05-09,79019.08,Engineering,4,True
136,Rachael Johnston,21,M,New Caledonia,2019-05-02,111677.39,Finance,4,True
137,Nathaniel Gray,23,F,Reunion,2016-05-26,75281.68,Marketing,2,True
138,David Cannon,52,F,Bahrain,2017-08-01,46083.0,Finance,7,True
139,Jennifer Martinez,38,F,United States of America,2016-08-17,57770.14,Marketing,8,False
140,Steven Baker,34,M,Iceland,2024-05-01,74688.59,HR,4,True
141,Melanie Ortiz,61,F,Israel,2018-10-11,100160.9,Marketing,6,True
142,Chloe Collins,41,M,Gabon,2022-05-04,47135.77,Engineering,7,False
143,Rachel Wright,27,M,Indonesia,2015-04-25,74621.49,Engineering,9,True
144,Kenneth Leonard,32,M,Greece,2017-05-19,118634.95,HR,4,False
145,Christopher Moore,55,M,Micronesia,2019-01-06,92652.39,Sales,6,False
146,Michael Cardenas,38,M,Cook Islands,2017-11-27,105699.16,Sales,3,False
147,Rodney Carr MD,29,M,Equatorial Guinea,2021-12-12,51220.53,HR,4,True
148,Vanessa Garcia,47,M,New Zealand,2024-06-12,79865.25,Marketing,9,False
149,Samantha Howell,57,M,Yemen,2017-07-28,51044.79,Engineering,9,True
150,Richard Cox,21,F,Sudan,2016-10-11,59012.77,Finance,4,False
151,Elijah Lang,59,M,United States of America,2022-03-17,55728.31,Sales,7,False
152,Jessica Jones,19,F,Cote d'Ivoire,2018-02-10,96322.83,HR,3,False
153,Jenna Stevens,29,M,Eritrea,2016-02-14,63990.95,HR,4,False
154,Sonya Atkins,26,M,Palestinian Territory,2018-12-15,112235.09,Finance,1,True
155,Michael Johnson,63,M,Cuba,2022-12-29,50078.26,Finance,3,False
156,Jonathan Wilson,61,M,Togo,2021-09-25,112770.02,Engineering,4,True
157,Dustin Lee,45,F,New Caledonia,2017-11-26,78814.41,HR,6,True
158,Nicolas Burton,20,M,Turkey,2017-12-14,61560.33,Marketing,1,True
159,Rebecca Myers,29,F,Comoros,2021-05-09,60157.67,HR,7,True
160,Jacqueline Frazier,50,F,Palestinian Territory,2023-11-30,74156.69,Finance,3,True
161,Scott Monroe,54,F,Christmas Island,2015-12-03,42993.16,Engineering,8,False
162,Julie Davis,42,M,Israel,2020-04-18,79891.55,Engineering,9,False
163,Kaitlyn Martin,50,F,Equatorial Guinea,2020-01-15,96146.03,Engineering,4,False
164,Lisa Mullins,52,M,Antigua and Barbuda,2016-04-17,108679.95,Engineering,1,False
165,Michael Pearson,37,F,Marshall Islands,2020-01-18,57850.08,Finance,3,False
166,Jeremy Peterson,53,M,Benin,2016-06-25,35580.09,HR,7,False
167,Jorge Melendez,18,F,Senegal,2020-06-12,32975.41,Finance,9,True
168,Melissa Howard,19,F,Wallis and Futuna,2024-03-07,92975.68,Sales,8,True
169,Alex Bender,34,M,Lithuania,2017-08-21,81811.62,HR,2,False
170,Sean Mueller,19,F,Qatar,2018-03-23,104149.1,Finance,9,False
171,David Barnes,52,F,El Salvador,2018-11-02,72241.19,Engineering,8,True
172,Samantha Roberts,54,M,Saint Pierre and Miquelon,2024-04-05,66004.45,Marketing,1,False
173,John Leach,18,F,Serbia,2021-04-18,65488.65,HR,6,False
174,Emily Mays,56,F,India,2017-08-24,34064.01,HR,3,True
175,Christine Rodriguez,54,M,Zambia,2023-10-30,113094.98,HR,9,False
176,Kyle Hernandez,53,F,Slovakia (Slovak Republic),2023-04-29,76746.15,Finance,8,False
177,Vincent Black,61,M,Wallis and Futuna,2015-11-02,44764.1,Engineering,9,True
178,Patricia Nunez,56,M,Hong Kong,2023-06-22,51874.43,HR,5,True
179,Margaret Holmes,59,F,Peru,2015-09-15,78062.62,HR,2,True
180,Michael Green,50,F,Benin,2017-08-17,78132.49,Marketing,5,False
181,David Davis,29,M,Russian Federation,2022-01-18,34077.41,Marketing,8,False
182,James Yang,23,F,Finland,2020-02-13,63573.68,Finance,4,True
183,John Johnson,23,F,Denmark,2020-07-17,61938.33,Finance,4,False
184,Elizabeth Lyons,20,M,Albania,2022-07-13,96540.46,Sales,4,False
185,Angela Johnson,54,F,Georgia,2021-04-08,58875.14,Sales,2,True
186,Margaret Long,62,F,Central African Republic,2017-09-22,78795.36,Marketing,6,False
187,Michael Bennett,36,M,Dominican Republic,2021-06-04,42146.93,Engineering,2,True
188,Rebecca Thomas,41,M,Botswana,2019-02-09,45142.69,Sales,3,True
189,Melissa Martinez,18,F,Mauritius,2018-12-14,54746.36,Marketing,4,True
190,Anthony Owens,25,M,Wallis and Futuna,2020-07-24,38497.55,Sales,3,True
191,Mary Phillips,19,F,Luxembourg,2023-10-13,111748.85,HR,7,False
192,Rebecca Brown,62,M,Mali,2024-07-13,58591.5,Marketing,7,False
193,David Jordan,37,M,San Marino,2016-03-25,43892.28,HR,9,True
194,Jessica Morgan,19,M,Slovenia,2024-07-14,91545.31,Sales,1,False
195,Lauren Craig,54,M,Faroe Islands,2017-08-02,86938.37,Engineering,8,False
196,Brandy Hurley,21,F,Bulgaria,2016-03-24,59537.05,Engineering,4,False
197,Erika Hall,60,M,Panama,2019-12-29,70080.0,HR,8,False
198,Luis Rose,55,M,Uruguay,2014-11-09,71400.92,Engineering,5,True
199,Ryan Tucker,54,M,Italy,2019-01-14,100453.48,Sales,6,False
200,Amanda Williams,28,M,Monaco,2021-02-03,110058.24,Engineering,3,True
201,Jason Fletcher,26,F,Saint Helena,2018-05-13,67489.82,Engineering,9,False
202,Erin Nguyen,49,F,Taiwan,2014-12-06,65351.26,Engineering,7,False
203,Paul Hensley,28,F,Latvia,2021-04-29,93930.96,Finance,3,False
204,Jodi Moss,47,F,Azerbaijan,2022-02-21,50080.73,Marketing,5,True
205,Melissa Contreras,23,F,British Virgin Islands,2016-11-02,76779.72,Sales,2,False
206,Luke Brown,52,F,Iceland,2022-06-12,37613.03,HR,5,True
207,Andrew Vazquez,22,M,Dominican Republic,2018-08-10,87095.69,Engineering,4,False
208,James Robinson,37,M,Sao Tome and Principe,2020-08-01,116612.5,Marketing,7,True
209,Melissa Huynh,63,F,Guinea,2018-10-05,37292.68,Engineering,5,True
210,Juan Keith,64,M,French Polynesia,2022-10-09,90945.03,Sales,6,False
211,Janet Molina,34,F,Germany,2015-09-13,63336.8,Finance,6,True
212,Cody Hensley,54,F,Slovenia,2023-05-03,99701.94,Marketing,1,False
213,Ashley Mendez,38,F,Palestinian Territory,2016-07-27,59381.59,Engineering,4,False
214,Bryan Kim,23,M,Senegal,2019-03-26,89637.33,Finance,5,False
215,James Wilson,38,F,Svalbard & Jan Mayen Islands,2023-03-09,110863.78,Engineering,9,False
216,Samuel Dean,58,M,Uzbekistan,2018-06-26,31275.02,Engineering,7,False
217,Kenneth West,27,M,Trinidad and Tobago,2017-05-13,59549.72,Marketing,2,False
218,Jason Juarez,56,F,Zambia,2018-06-29,70699.13,Engineering,5,True
219,Sally Patrick,47,F,Montenegro,2019-05-08,118389.13,Finance,4,False
220,Scott Moon,32,M,Tunisia,2022-12-14,116658.01,Sales,4,True
221,Daniel Reed,38,M,Poland,2021-01-28,80318.73,Sales,2,True
222,Thomas Kelley,40,M,Iraq,2024-01-23,90116.59,HR,2,False
223,Heather Murray,25,M,Papua New Guinea,2018-09-19,117462.29,HR,2,False
224,Amanda Kelly,20,F,El Salvador,2017-02-01,113934.51,HR,9,True
225,Mikayla Choi,45,F,Bulgaria,2015-12-15,68290.6,Marketing,5,True
226,Alexis Knight,59,F,Mexico,2024-10-12,108455.9,Finance,6,True
227,Miguel Baker,30,M,Mexico,2021-02-14,36590.39,Sales,3,False
228,Sandra Turner,25,F,Greenland,2022-08-08,82425.1,Finance,7,False
229,Chad Thomas,61,F,Burundi,2015-06-03,113208.32,HR,5,False
230,Robert Collins,18,M,Sao Tome and Principe,2014-12-22,57607.24,Marketing,9,False
231,Catherine Villegas,55,F,Jersey,2019-09-23,53805.48,Finance,1,True
232,Jason Santos,30,M,Guam,2020-06-21,98762.8,Finance,4,True
233,Paige Evans,35,M,Mongolia,2016-06-27,110123.22,Marketing,3,True
234,Eric Stark,20,F,Austria,2017-06-08,51065.44,Engineering,4,False
235,Adam Moore,21,M,Macedonia,2022-09-19,37636.09,Marketing,8,True
236,Cameron Wyatt MD,49,F,Trinidad and Tobago,2021-05-28,84713.3,Engineering,6,False
237,Elizabeth Campos,56,F,Bahamas,2018-07-24,93391.24,Sales,3,False
238,Jennifer Jones,50,F,South Africa,2020-11-22,103979.85,Marketing,2,False
239,Kevin Adkins,41,M,Suriname,2018-10-12,93246.08,Finance,5,True
240,Diane Gonzalez,62,M,Taiwan,2017-05-10,118205.83,Sales,6,True
241,John Davis,58,M,Syrian Arab Republic,2014-11-14,103991.42,Engineering,5,True
242,Lynn Young,45,F,India,2017-10-20,91343.84,HR,6,True
243,Erik Smith,19,F,Argentina,2024-01-10,104812.6,Finance,2,False
244,Michael Galvan,34,M,Saint Kitts and Nevis,2024-05-14,34691.4,Marketing,9,False
245,Michael Johnson,44,M,Martinique,2024-07-22,36972.88,Engineering,4,False
246,Nathan Williams,48,M,Gabon,2015-04-13,80031.01,Sales,4,True
247,Tara Anthony,44,F,Chad,2024-07-08,78460.78,Sales,4,True
248,Jonathan Montes,63,M,Jamaica,2018-05-06,119147.67,Marketing,2,True
249,William Anderson,24,F,Western Sahara,2019-09-27,117496.79,HR,2,False
250,Alejandra Vaughn,44,M,Afghanistan,2019-09-16,87299.64,Marketing,6,True
251,Anthony Kramer,24,M,Benin,2019-04-27,78746.87,Engineering,1,True
252,Michelle Smith,54,F,Taiwan,2019-04-21,59728.57,Finance,5,False
253,David Bruce,57,F,Turkey,2015-09-26,88314.18,HR,2,False
254,Paula Kelly,50,M,Uzbekistan,2024-10-10,105531.55,HR,1,False
255,Debra Jimenez,34,M,Comoros,2023-09-18,60698.32,Marketing,4,True
256,Michael Cervantes,60,M,Bulgaria,2015-02-13,62412.25,Engineering,6,True
257,John Marquez,46,F,Liechtenstein,2019-04-02,104651.55,Marketing,1,True
258,Katherine Brown,49,M,Azerbaijan,2015-05-25,62031.32,Finance,7,False
259,Adam Clayton,46,M,Timor-Leste,2023-02-17,109446.23,Marketing,2,False
260,Paul Lawson,29,F,Liechtenstein,2023-06-19,90808.0,Finance,3,False
261,Jennifer Maldonado,60,M,Poland,2023-01-16,73054.05,Engineering,8,True
262,Michael White MD,22,F,Japan,2015-12-08,44760.35,Marketing,8,False
263,Paul Bishop,43,F,Finland,2018-04-09,74597.3,HR,1,False
264,Sherri Ferguson,31,M,Brunei Darussalam,2017-04-07,59066.15,Marketing,5,False
265,Timothy Bell,35,M,Faroe Islands,2020-01-13,87685.58,Finance,7,False
266,Robin Saunders,64,F,Jordan,2016-10-18,41611.01,HR,9,True
267,Janet Miranda,50,M,Ghana,2017-07-22,119021.81,Marketing,3,True
268,Patricia Smith,36,F,Gibraltar,2019-06-05,104915.15,HR,6,True
269,Michael Smith,37,M,Taiwan,2024-09-27,58740.76,Engineering,7,False
270,Roger Watson,31,F,Lebanon,2018-05-24,106844.3,Marketing,1,False
271,Ronald Carroll,52,F,Austria,2016-11-24,103308.67,Engineering,8,False
272,Larry Chaney,25,F,Kyrgyz Republic,2024-07-27,47463.26,HR,7,False
273,Mary Oneill,58,F,Seychelles,2020-10-15,63537.61,Marketing,1,True
274,Robert Taylor,40,M,Fiji,2020-06-27,102771.98,Sales,1,False
275,Cheryl Hoover,33,F,Niger,2017-05-10,82803.96,HR,6,False
276,Jacqueline Smith,54,F,Vietnam,2020-09-02,95643.0,Finance,9,False
277,Paula Harper,53,M,Namibia,2019-04-08,67861.06,Sales,1,False
278,Alyssa Smith,52,M,Thailand,2022-09-17,34115.17,Engineering,1,False
279,Miguel Lopez,47,F,Hong Kong,2015-07-05,99194.15,HR,7,False
280,Linda Skinner,64,F,Micronesia,2020-07-07,70164.28,Sales,4,True
281,Peggy Robertson,42,F,Ecuador,2014-12-09,72488.02,Sales,3,False
282,Mrs. Tonya Rivera MD,45,M,Cyprus,2020-02-29,108036.97,HR,6,True
283,Tiffany Morton,26,M,Iceland,2016-03-11,42422.14,Marketing,2,True
284,Courtney Rush,27,M,Bahamas,2015-05-12,67162.3,Finance,1,False
285,Jesse Henderson,59,M,Netherlands Antilles,2020-11-19,78303.51,Sales,7,False
286,Gregory Hoffman,49,M,Egypt,2014-12-03,48656.65,Marketing,1,True
287,Leah Sutton,51,M,India,2022-10-26,56263.81,Engineering,6,True
288,Michael Mcgrath,41,M,Macao,2021-04-10,69560.74,Engineering,8,False
289,Susan Gordon,26,F,Iceland,2019-10-04,76106.36,Finance,3,True
290,Danielle Giles,59,F,Costa Rica,2022-07-21,85976.41,Marketing,1,False
291,William Deleon,30,M,Senegal,2019-07-25,51138.15,Finance,2,True
292,George Smith,20,F,Singapore,2020-07-16,35743.48,Finance,6,False
293,Mr. Joshua Lloyd,59,M,Georgia,2016-06-05,105767.53,Sales,8,True
294,Stephanie Gross,42,M,Maldives,2024-08-23,109110.08,Finance,1,False
295,Amanda Miller,19,M,Eritrea,2020-07-18,66261.67,Sales,6,True
296,Kelly Conner,24,M,Mongolia,2024-08-23,68765.66,Finance,9,False
297,Jessica Walker,26,F,Faroe Islands,2019-10-10,100097.46,Sales,5,True
298,Lisa Terry,19,F,Singapore,2018-06-19,87291.93,Sales,2,False
299,Timothy Johnson,19,M,Turkey,2018-05-14,82830.22,Engineering,2,True
300,John Romero,52,F,Holy See (Vatican City State),2017-09-05,95361.61,Marketing,3,True
301,Andres Hunter,44,F,Kenya,2022-07-08,119866.81,Engineering,5,False
302,Joe Sloan,39,M,Taiwan,2015-09-07,32710.46,Sales,1,False
303,Daniel Parrish,57,M,Antarctica (the territory South of 60 deg S),2021-01-18,74678.96,Sales,7,True
304,Karen Browning,33,M,Guyana,2015-06-24,108101.39,Finance,1,False
305,William Scott,43,F,Estonia,2018-10-03,34511.74,Engineering,1,True
306,Michael Rogers,23,M,United Kingdom,2019-12-24,70204.84,HR,7,True
307,Christopher Roth,29,M,Vietnam,2022-02-22,100630.17,Sales,4,True
308,Shelia Bishop,30,M,Holy See (Vatican City State),2020-07-20,66679.02,Marketing,1,False
309,Jonathan Norton,19,F,Comoros,2015-09-18,95325.53,Finance,1,False
310,Darryl Chaney,33,M,Monaco,2024-06-15,53667.31,Sales,5,False
311,Julie Harmon,37,F,Argentina,2015-09-21,62179.22,Engineering,8,True
312,Laura Madden,22,M,Fiji,2014-11-10,114010.91,Sales,1,True
313,Frances Brennan,55,M,Cyprus,2017-12-16,35846.45,Marketing,4,True
314,Cynthia Green,35,M,Swaziland,2024-07-17,54808.71,Engineering,8,False
315,Connie Taylor,64,M,Heard Island and McDonald Islands,2023-03-20,33612.68,Marketing,3,False
316,Casey Nguyen,53,F,Ethiopia,2019-01-14,83818.98,Engineering,4,False
317,Melanie Kerr DDS,59,M,Tanzania,2021-12-06,112418.0,Finance,7,True
318,Jason Luna,53,M,Canada,2021-08-21,82922.61,HR,8,False
319,Andrea Chavez,58,M,Guinea,2021-09-20,50702.81,Marketing,7,True
320,Benjamin Fox,44,F,Ethiopia,2015-11-07,40679.42,Engineering,8,True
321,Brandon Carrillo,56,M,Cote d'Ivoire,2014-11-06,79157.57,Marketing,6,True
322,Gerald Boyd,50,M,Belgium,2022-08-11,55588.13,HR,5,False
323,Timothy Stone,18,M,Austria,2018-01-02,107081.66,HR,6,True
324,Melinda Hardin,32,F,Trinidad and Tobago,2014-12-28,93460.78,Marketing,5,False
325,Christopher Bennett,31,M,Philippines,2017-11-23,87302.42,Marketing,9,False
326,Daniel Moore,27,F,Cambodia,2021-11-26,77359.73,Engineering,4,True
327,Daniel Young,37,M,Saint Martin,2016-09-25,85255.06,HR,8,False
328,Brady Cruz,50,M,Algeria,2019-12-21,113306.33,HR,8,True
329,Jennifer Nicholson,57,F,Tunisia,2017-06-10,97795.35,Engineering,4,False
330,Eugene Lewis,45,M,Libyan Arab Jamahiriya,2024-09-05,73267.8,HR,2,False
331,Christopher Saunders,35,F,Brunei Darussalam,2023-09-27,89095.14,Sales,3,True
332,Anthony Chambers,57,F,Dominica,2022-10-29,32430.5,Engineering,9,False
333,Christopher Atkins,18,M,Paraguay,2016-05-12,77100.11,Marketing,5,True
334,Danielle Casey,60,F,United States Minor Outlying Islands,2021-08-08,50835.24,Engineering,6,True
335,Dennis Mitchell,58,F,San Marino,2023-11-11,41051.63,Marketing,9,False
336,Kimberly Diaz,29,M,Andorra,2019-06-28,105302.64,Finance,8,True
337,Joshua Carey,63,F,Cuba,2023-08-30,97686.08,HR,3,True
